"Configuration", "Konfiguration"
"Authentication", "Authentifizierung"
"Customer number", "Kundennummer"
"Shop number", "Shopnummer"
"API key", "API-Key"
"Cart link has expired", "Der Link zum Warenkorb ist abgelaufen"
"Link provided does not match any cart","Der angegebene Warenkorblink passt zu keinem gültigen Warenkorb"
"Cart by this link was already purchased","Dieser Warenkorb wurde bereits bestellt"
"Styles for App browser pages", "CSS Styles für die App Browser Seiten"
"Example: .page-title { display: none }", "Beispiel: .page-title { display: none }"
"The &#60;style&#62; tag is not allowed as CSS value.", "Der &#60;style&#62; Tag ist nicht erlaubt im CSS Feld."
"Back to login";"Zurück zur Anmeldung"
"Filter Address IDs","Adress ID Filter"
